id;name;id_number;color;location;latitude;longitude;order_number;hive_count;external_id;uuid;date_created;date_modified;date_synched
1;frantically gerbil;qua;turquoise;near;19339.55;24867.51;28512;22292;263;writhing;2024-11-12T23:51:44;2024-11-13T04:57:14;2024-11-13T16:15:44
2;twin yahoo;rebuild pish ugh;green;suddenly geez blend;19732.38;9515.6;12177;31601;31522;whoa;2024-11-13T04:06:27;2024-11-13T10:17:33;2024-11-13T14:31:33
3;quintuple;madly neatly;plum;really;10372.95;775.65;22177;32111;26454;grandson;2024-11-13T06:42:24;2024-11-13T05:25:32;2024-11-13T06:52:08
4;uselessly wherever impassioned;spirited tattered stay;violet;worth vainly;3514.44;1836.19;29982;25898;4715;meanwhile summer huzzah;2024-11-13T10:13:16;2024-11-13T11:50:10;2024-11-12T21:13:23
5;indeed;lift through;gold;warp provided modulo;14110.19;9090.4;7740;26323;6365;pulverize extract;2024-11-12T18:03:19;2024-11-13T07:36:22;2024-11-13T01:47:20
6;gee;experienced aside;pink;pace;10227.23;17422.09;23241;30166;26057;however warmly;2024-11-13T16:59:40;2024-11-13T01:51:28;2024-11-13T11:59:11
7;scamper neighboring vastly;the competent yet;tan;numeric owlishly completion;4547.83;9031.25;4531;6687;9244;kick diligent drat;2024-11-13T00:53:49;2024-11-12T21:30:11;2024-11-13T12:24:03
8;likely lively;rapidly hypothesise questionable;lavender;thunderbolt;20777.66;769.23;11628;30352;19088;who;2024-11-13T17:03:28;2024-11-12T18:32:53;2024-11-12T18:53:43
9;where so;urban;teal;spanish accidentally;9180.09;31191.65;9066;14806;16354;inhibit and awful;2024-11-13T00:45:45;2024-11-12T20:09:06;2024-11-13T01:18:34
10;crocodile a;hmph trained roughly;grey;beside since how;19211.02;25493.33;14502;9991;30575;behind why;2024-11-13T15:37:14;2024-11-13T14:05:33;2024-11-12T23:13:51
