id;jhi_key;type;value;external_id;uuid;date_created;date_modified;date_synched;date_deleted
1;yuck near promptly;flashy;wasteful into knowingly;6429;glisten enfold until;2025-02-10T16:07:25;2025-02-10T02:50:31;2025-02-10T07:29:17;2025-02-10T05:08:42
2;inexperienced;slake lest;honesty blight citizen;353;psst yippee consequently;2025-02-10T03:12:36;2025-02-10T17:33:11;2025-02-10T02:17:57;2025-02-09T20:07:04
3;eek reorient;exalted yieldingly indeed;daintily;13232;guacamole reckon;2025-02-10T06:45:47;2025-02-10T17:31:32;2025-02-09T20:48:15;2025-02-10T18:53:33
4;wherever receptor wherever;why;so;9134;ouch impostor;2025-02-10T06:37:31;2025-02-09T22:58:48;2025-02-10T09:02:59;2025-02-10T02:55:41
5;until hm;unto shush unlucky;pfft;17973;quaintly astride since;2025-02-10T18:42:05;2025-02-10T04:01:47;2025-02-10T08:26:46;2025-02-09T21:44:08
6;uh-huh;unsung phooey;finally perfectly;3180;yowza;2025-02-10T19:41:51;2025-02-10T11:37:13;2025-02-10T01:49:38;2025-02-10T09:33:56
7;defiantly fill;apropos because ha;platter oof than;8537;brr until;2025-02-10T06:39:23;2025-02-10T13:06:23;2025-02-10T09:00:42;2025-02-10T06:29:53
8;questionably furthermore;who the frightfully;option overplay opposite;11067;geez yum;2025-02-10T05:32:53;2025-02-10T17:11:41;2025-02-10T01:22:50;2025-02-10T19:54:17
9;during futon furthermore;apud;scented;11825;why;2025-02-10T12:27:03;2025-02-10T11:49:33;2025-02-09T20:32:31;2025-02-09T22:03:11
10;unnaturally mummify citizen;even;whereas wherever upbeat;875;for that premier;2025-02-10T08:24:28;2025-02-09T21:20:44;2025-02-10T01:23:08;2025-02-10T18:36:02
