id;food_amount;external_id;uuid;date_created;date_modified;date_synched;date_deleted;date_finished
1;32443.85;8942;hmph duh lazy;2025-02-10T17:51:07;2025-02-10T16:15:02;2025-02-10T10:58:43;2025-02-10T11:27:31;2025-02-10T04:18:35
2;9149.26;25351;obediently honestly till;2025-02-10T01:17:00;2025-02-10T07:02:00;2025-02-09T23:46:05;2025-02-10T19:22:17;2025-02-10T12:57:16
3;14829.38;18672;fondly;2025-02-10T01:22:55;2025-02-10T04:51:04;2025-02-10T13:15:12;2025-02-10T02:48:04;2025-02-10T02:13:13
4;4312.46;19131;coin beautifully;2025-02-10T19:20:20;2025-02-09T23:40:58;2025-02-10T10:03:07;2025-02-10T09:50:37;2025-02-10T06:29:59
5;3980.53;26339;vibration psst;2025-02-10T06:08:37;2025-02-10T01:50:25;2025-02-10T02:14:45;2025-02-10T16:11:44;2025-02-10T19:00:11
6;28793.4;16260;know mathematics unknown;2025-02-10T02:17:09;2025-02-10T05:28:22;2025-02-09T20:35:54;2025-02-10T03:11:36;2025-02-10T01:42:49
7;28585.88;17906;which yuck;2025-02-10T15:12:01;2025-02-10T10:14:38;2025-02-10T19:39:48;2025-02-10T00:01:20;2025-02-10T04:53:42
8;25578.84;9915;scarily;2025-02-10T05:26:16;2025-02-10T01:10:50;2025-02-10T10:26:08;2025-02-10T10:36:40;2025-02-10T02:45:08
9;24498.58;4042;wonderfully promptly kiddingly;2025-02-10T13:55:42;2025-02-10T13:49:37;2025-02-10T01:02:35;2025-02-10T11:46:00;2025-02-10T14:19:00
10;15939.76;17715;obesity onto;2025-02-10T09:30:33;2025-02-09T22:19:23;2025-02-09T23:18:08;2025-02-09T20:08:24;2025-02-10T04:34:32
