id;amount;external_id;uuid;date_created;date_modified;date_synched;date_deleted;date_finished
1;16917.56;16809;mmm;2025-02-10T08:31:58;2025-02-10T02:40:21;2025-02-10T00:36:33;2025-02-10T04:21:35;2025-02-10T06:01:09
2;15837.49;5031;cruelly pfft woefully;2025-02-09T23:18:03;2025-02-10T15:31:25;2025-02-09T22:04:48;2025-02-10T12:06:56;2025-02-10T16:34:49
3;17922.75;24171;joyously;2025-02-10T18:04:17;2025-02-10T16:36:25;2025-02-10T06:29:27;2025-02-09T22:45:11;2025-02-10T10:44:54
4;25422.13;18983;simplistic ick;2025-02-09T20:29:37;2025-02-10T13:49:06;2025-02-10T00:19:21;2025-02-09T21:35:54;2025-02-10T10:27:29
5;21315.43;1591;deer on;2025-02-09T21:07:16;2025-02-10T08:29:34;2025-02-10T15:01:43;2025-02-10T14:30:48;2025-02-10T03:35:52
6;9308.9;31936;instead eek phooey;2025-02-09T20:28:43;2025-02-10T05:57:57;2025-02-10T06:34:56;2025-02-10T07:36:44;2025-02-10T16:13:05
7;5507.73;16139;seriously ha transparency;2025-02-10T10:25:48;2025-02-10T15:13:31;2025-02-10T16:12:29;2025-02-10T06:31:14;2025-02-10T14:01:11
8;17634.34;2867;service properly;2025-02-10T03:50:38;2025-02-10T04:12:19;2025-02-09T22:44:28;2025-02-10T09:05:16;2025-02-10T01:50:35
9;24904.71;22594;when;2025-02-10T03:32:24;2025-02-10T15:34:08;2025-02-10T13:35:56;2025-02-10T09:36:41;2025-02-10T00:49:40
10;22497.91;7789;athwart;2025-02-10T14:26:42;2025-02-10T15:25:54;2025-02-10T03:38:47;2025-02-10T04:34:34;2025-02-09T20:50:13
