id;hive_frames;amount;date_collected;jhi_group;group_record_id;external_id;uuid;date_created;date_modified;date_synched;date_deleted
1;27846;26308.3;2025-02-10T01:32:23;gadzooks;3394;6114;fictionalize wearily kissingly;2025-02-10T10:23:41;2025-02-10T00:04:53;2025-02-10T11:29:55;2025-02-10T07:38:11
2;2883;31929.11;2025-02-10T13:05:54;suddenly dramatic cannibalise;3217;28464;display darn yuck;2025-02-10T04:28:55;2025-02-10T08:41:22;2025-02-10T02:49:56;2025-02-10T15:08:44
3;8542;29210.24;2025-02-10T03:22:38;whoa;31790;12050;accentuate;2025-02-09T21:41:27;2025-02-10T17:43:36;2025-02-10T09:00:46;2025-02-10T17:14:11
4;12299;1693.98;2025-02-10T13:08:01;sniveling;7009;20363;wherever content every;2025-02-10T17:39:25;2025-02-10T19:57:06;2025-02-10T01:23:16;2025-02-10T18:41:45
5;31752;23146.36;2025-02-10T18:15:12;celsius lest;29423;1590;sympathetically;2025-02-10T16:00:35;2025-02-10T13:06:54;2025-02-10T19:23:44;2025-02-10T10:26:04
6;13735;21254.42;2025-02-10T06:28:18;gah;28400;25118;briefly;2025-02-10T03:42:00;2025-02-10T05:05:48;2025-02-10T13:53:59;2025-02-10T02:27:25
7;14996;12631.32;2025-02-10T14:19:44;shudder impish ouch;7087;32659;sour glaring for;2025-02-10T19:28:42;2025-02-10T17:08:24;2025-02-10T01:18:10;2025-02-10T04:57:27
8;30691;20599.31;2025-02-10T07:47:19;um judgementally;19662;4844;collaborate;2025-02-10T15:32:53;2025-02-10T19:31:55;2025-02-09T20:29:05;2025-02-10T12:03:42
9;31160;3522.32;2025-02-10T01:07:52;fervently very;375;30234;because however scar;2025-02-10T15:01:20;2025-02-09T21:12:52;2025-02-10T18:59:16;2025-02-10T16:20:52
10;22470;25373.25;2025-02-10T07:45:51;mmm rigidly along;6418;27319;plus;2025-02-10T09:00:20;2025-02-10T07:33:20;2025-02-10T01:57:21;2025-02-09T21:57:07
