id;barcode;order_number;description;examination_date;archived_date;archived_reason;external_id;uuid;date_created;date_modified;date_synched;date_deleted
1;unless zowie;20449;around formamide;2025-01-11T12:53:36;2025-01-11T22:08:31;abaft indeed ick;27507;gloat;2025-01-12T00:50:38;2025-01-11T17:01:39;2025-01-11T18:44:19;2025-01-12T09:14:44
2;huzzah;254;youthful past;2025-01-12T07:45:49;2025-01-12T00:54:09;pro;27121;harp;2025-01-12T00:36:15;2025-01-11T15:12:33;2025-01-11T23:47:47;2025-01-12T02:57:24
3;sadly psst phooey;30323;nor how blah;2025-01-12T09:30:45;2025-01-12T05:06:45;newsprint with;10029;certification pull basic;2025-01-11T12:43:45;2025-01-11T20:27:12;2025-01-11T19:45:20;2025-01-11T15:03:29
4;er thankfully;13966;unless unzip;2025-01-11T19:29:13;2025-01-11T19:28:25;finally deficient;21043;without abnormally hopelessly;2025-01-11T14:30:57;2025-01-11T18:20:30;2025-01-12T08:39:38;2025-01-11T13:50:24
5;humiliating angrily;13724;pivot whup weird;2025-01-11T21:36:04;2025-01-11T16:02:02;till;28070;rusty phew;2025-01-11T15:33:23;2025-01-12T11:30:53;2025-01-12T02:58:01;2025-01-11T13:21:25
6;after yahoo in;16150;story as;2025-01-11T11:59:16;2025-01-12T00:42:17;waft;14414;aw yearly while;2025-01-11T16:44:49;2025-01-11T17:33:33;2025-01-12T07:23:38;2025-01-11T18:24:00
7;likely;32122;yowza round wry;2025-01-12T02:05:40;2025-01-11T15:27:55;decision understanding;18883;briefly;2025-01-11T21:21:01;2025-01-11T16:34:33;2025-01-11T20:12:26;2025-01-12T08:37:58
8;ring mmm;30748;where along;2025-01-11T22:21:01;2025-01-11T20:13:00;who gum;8996;sweetly inasmuch subexpression;2025-01-11T14:24:52;2025-01-11T22:55:48;2025-01-12T08:45:25;2025-01-12T00:27:05
9;muted mid;650;speedy unaccountably;2025-01-11T18:17:07;2025-01-11T16:00:30;jagged;9807;oof numb yet;2025-01-11T17:35:10;2025-01-12T08:18:16;2025-01-11T19:21:36;2025-01-11T18:26:55
10;midst;26995;along behind suburban;2025-01-11T23:11:10;2025-01-12T04:12:00;stack;10632;as;2025-01-12T07:49:06;2025-01-12T03:56:17;2025-01-12T11:20:37;2025-01-11T13:12:22
