id;name;enum_value_name;color;hive_count;hive_count_finished;additional_info;order_number;external_id;uuid;date_created;date_modified;date_synched;date_deleted
1;swordfish stock trouser;wrongly er excepting;black;18499;3932;neatly cardboard analogy;30990;11284;fork duh;2025-02-09T21:52:46;2025-02-10T01:58:51;2025-02-10T16:17:00;2025-02-10T12:50:30
2;provider yahoo unfortunately;schnitzel ultimately furthermore;maroon;2850;9102;astonishing;10742;16976;plus meh glass;2025-02-10T11:34:37;2025-02-10T13:42:16;2025-02-10T16:49:20;2025-02-10T05:54:06
3;on aha masticate;until unwritten so;grey;20796;32253;esteemed;28082;16351;aside;2025-02-10T04:49:07;2025-02-09T22:08:24;2025-02-10T03:23:47;2025-02-10T04:18:51
4;sell tricky behind;fat wearily sturdy;azure;1223;12867;above;19831;25546;demonstrate;2025-02-10T12:36:05;2025-02-09T21:22:34;2025-02-10T11:45:12;2025-02-10T13:19:20
5;adumbrate;when unused incidentally;salmon;21799;9902;notwithstanding;21560;14707;forgather;2025-02-10T04:17:46;2025-02-10T14:07:31;2025-02-10T06:00:57;2025-02-10T14:48:24
6;lavish;plus;green;29663;23825;red old-fashioned;1111;6887;outfox;2025-02-10T01:41:30;2025-02-10T06:32:22;2025-02-10T00:27:58;2025-02-10T01:12:25
7;into;thigh really idealistic;white;31172;10650;usher;13710;26019;but blah;2025-02-10T15:43:15;2025-02-09T23:54:50;2025-02-10T02:33:19;2025-02-10T14:49:09
8;veg ready;huzzah usher;yellow;5819;28809;next appropriate;31459;1964;meanwhile showy psst;2025-02-10T09:49:10;2025-02-10T15:06:05;2025-02-10T17:43:00;2025-02-10T09:09:11
9;viciously amid jury;because;indigo;15818;14059;farm;29788;9247;jiggle;2025-02-10T18:47:03;2025-02-10T15:51:03;2025-02-10T07:03:33;2025-02-10T00:52:59
10;gastropod submitter;machine successfully er;cyan;30528;30027;surprise of;12411;25794;junior;2025-02-10T01:59:50;2025-02-10T17:02:02;2025-02-10T14:08:08;2025-02-10T14:30:20
