id;origin;year;is_marked;active;active_from_date;active_to_date;queen_change_date;external_id;uuid;date_created;date_modified;date_synched;date_deleted
1;vain;1385;true;true;2025-02-10T08:30:48;2025-02-10T12:48:23;2025-02-10T13:08:36;781;ocelot before;2025-02-10T14:52:16;2025-02-10T18:43:01;2025-02-10T03:59:15;2025-02-10T11:20:22
2;whereas yowza;22045;false;false;2025-02-10T12:26:54;2025-02-10T05:15:33;2025-02-10T11:49:04;12066;lonely;2025-02-10T15:19:10;2025-02-10T12:07:11;2025-02-10T07:26:22;2025-02-10T00:25:30
3;finally;8673;false;false;2025-02-10T03:20:38;2025-02-10T08:21:01;2025-02-10T13:08:27;30756;delightfully who;2025-02-10T02:35:33;2025-02-10T02:02:03;2025-02-10T03:13:18;2025-02-10T02:46:34
4;duh unsteady;18129;true;false;2025-02-10T14:26:15;2025-02-10T03:02:26;2025-02-09T23:19:10;25707;ack apropos fishery;2025-02-10T07:13:01;2025-02-10T00:39:48;2025-02-10T17:37:09;2025-02-10T15:41:37
5;likewise mammoth characterization;1706;false;false;2025-02-09T21:34:34;2025-02-10T10:43:41;2025-02-10T01:51:28;4067;comfortable gee;2025-02-09T21:40:26;2025-02-10T16:02:26;2025-02-10T10:24:28;2025-02-10T05:31:20
6;pluck frenetically boiling;28200;true;true;2025-02-10T01:46:12;2025-02-10T08:11:04;2025-02-10T19:21:54;25204;parsnip;2025-02-10T11:59:13;2025-02-10T07:01:26;2025-02-10T07:21:34;2025-02-09T22:57:28
7;once foolishly;4381;true;true;2025-02-10T10:06:15;2025-02-09T22:34:57;2025-02-10T17:48:27;32626;above below;2025-02-10T16:06:14;2025-02-10T00:38:46;2025-02-10T13:31:14;2025-02-10T06:51:34
8;restfully reassuringly utterly;1390;false;false;2025-02-10T09:05:23;2025-02-10T08:01:35;2025-02-10T13:28:37;12071;extremely tennis;2025-02-10T00:29:20;2025-02-10T10:29:44;2025-02-10T07:42:05;2025-02-09T20:37:37
9;crowded;27467;false;false;2025-02-10T09:42:51;2025-02-10T10:35:13;2025-02-10T17:08:18;2925;inborn;2025-02-10T15:04:30;2025-02-09T23:39:04;2025-02-10T18:13:57;2025-02-10T12:31:12
10;er boohoo fly;12126;true;false;2025-02-10T03:54:47;2025-02-10T02:29:40;2025-02-10T04:57:50;21429;wrongly supposing proselytise;2025-02-10T12:40:17;2025-02-10T05:53:16;2025-02-10T17:21:47;2025-02-10T16:24:54
